ticket_id,submitted_by,date_submitted,priority,category,description
TKT-052,layla.rivera,2026-01-27,Low,Email,"I need to set up an out-of-office auto-reply in Outlook for my leave from 10th to 17th February. I have tried the settings but the option is greyed out."
TKT-053,caleb.cooper,2026-01-27,Medium,Software,"The company timesheet system is throwing a 500 Internal Server Error for all users. Nobody in the company can submit their timesheets today."
TKT-054,aurora.richardson,2026-01-28,High,Hardware,"The UPS (uninterruptible power supply) in the server room is beeping continuously and the display shows a battery fault. Please check urgently."
TKT-055,eli.cox,2026-01-28,Low,Access Request,"Please add me to the distribution list DL-Marketing so I receive team-wide communications. I have recently moved to the marketing department."
TKT-056,savannah.howard,2026-01-28,Medium,Software,"Power BI Desktop crashes when I try to refresh the sales dashboard data model. The data source is a SQL Server connection on SRV-SQL-02."
TKT-057,christian.ward,2026-01-29,Low,Hardware,"The fan on my desktop PC is making a loud grinding noise. The machine is still working but the noise is constant and getting louder."
TKT-058,brooklyn.torres,2026-01-29,High,Account Access,"My admin account password has expired and I cannot log in to manage servers. The self-service reset portal is also requiring the old password to reset."
TKT-059,josiah.peterson,2026-01-29,Medium,Network,"I am getting very slow speeds when copying large files over the network (about 1MB/s instead of the usual 100MB/s). This started after a network maintenance window."
TKT-060,bella.gray,2026-01-30,Low,Email,"Outlook is not automatically completing email addresses from the global address list when I start typing. Autocomplete stopped working after a recent update."
TKT-061,hunter.ramirez,2026-01-30,High,Software,"Our ERP system (SAP) is showing 'System not available' for all users. No one in operations can access order or inventory data."
TKT-062,paisley.james,2026-01-30,Medium,Hardware,"The touchscreen on my Surface Pro is unresponsive. The keyboard and mouse work fine but touch input is completely dead. There are no physical cracks on the screen."
TKT-063,axel.watson,2026-02-02,Low,Access Request,"Please create a new folder on the shared drive at \\fileserver\projects\2026 and give the Project Alpha team (see attached list) read/write access."
TKT-064,willow.brooks,2026-02-02,Medium,Security,"I noticed that a colleague's computer was left logged in and unlocked overnight in the open-plan office. The machine is now locked. Please log this as a security incident."
TKT-065,ezra.kelly,2026-02-02,High,Network,"The site-to-site VPN between our London and Edinburgh offices has dropped. Edinburgh staff cannot access central systems. This has been down for 30 minutes."
TKT-066,stella.sanders,2026-02-03,Low,Software,"I need the drawing tool Visio installed on my machine to create network diagrams for a project proposal. We have a company licence."
TKT-067,colton.price,2026-02-03,Medium,Hardware,"My laptop overheats and shuts down unexpectedly when running video calls. The bottom of the laptop becomes very hot within 20 minutes of a Zoom call."
TKT-068,hazel.bennett,2026-02-03,High,Server,"Scheduled backup job for the database server (SRV-DB-01) has failed for the past 3 nights. Alert emails are coming to my inbox but no action has been taken."
TKT-069,maxwell.wood,2026-02-04,Low,Email,"I am receiving bounce-back messages (NDR) when trying to send emails to a specific external contact. Other recipients work fine. The error code is 550 5.1.1."
TKT-070,naomi.barnes,2026-02-04,Medium,Software,"The font rendering on my desktop looks blurry. This happened after I connected an external 4K monitor. Text in all applications appears fuzzy."
TKT-071,isaac.ross,2026-02-04,High,Security,"I have received a ransomware warning on my screen. My desktop wallpaper has changed and files have unfamiliar extensions. I have disconnected from the network immediately."
TKT-072,violet.henderson,2026-02-05,Low,Account Access,"Please change my display name in Active Directory from 'Violet Henderson' to 'Violet Chen' following my recent name change. HR has been informed."
TKT-073,roman.coleman,2026-02-05,Medium,Hardware,"The barcode scanner at the warehouse workstation (WS-WH-07) stopped working. The USB device is not recognised and shows an error in Device Manager."
TKT-074,ellie.jenkins,2026-02-05,High,Network,"All printers on the network are offline simultaneously. Users across the building cannot print. This coincided with a network switch being rebooted this morning."
TKT-075,ezekiel.perry,2026-02-06,Low,Software,"Chrome is prompting me to update but I cannot install updates without admin rights. Can IT push the latest Chrome update to my machine?"
TKT-076,alice.powell,2026-02-06,Medium,Email,"My shared mailbox (accounts@company.com) has stopped appearing in Outlook. I can still log in to it via webmail but it has disappeared from my Outlook profile."
TKT-077,finn.long,2026-02-06,High,Hardware,"The network switch in cabinet 3B is showing several amber port indicator lights. Several users in the east wing have lost network connectivity."
TKT-078,claire.patterson,2026-02-09,Low,Access Request,"A new contractor (M. Okafor) is starting on Monday. Please create a guest account with access to the project SharePoint site and Teams channel only. Duration: 3 months."
TKT-079,beckett.hughes,2026-02-09,Medium,Software,"The Windows 10 system clock is consistently running 15 minutes slow. It affects meeting times shown in Outlook and Teams. Time sync with the NTP server may have failed."
TKT-080,madeline.flores,2026-02-09,High,Server,"The SQL Server reporting service (SSRS) is down. Finance team cannot generate any month-end reports. Month-end deadline is tomorrow."
TKT-081,archer.washington,2026-02-10,Low,Email,"Can you set up email forwarding from my old email address (a.washington@oldcompany.com) to my current address? The old domain is still active."
TKT-082,freya.butler,2026-02-10,Medium,Hardware,"There is a burning smell coming from the PC under desk 7A. I have switched it off at the wall. Please do not turn it back on until it has been checked."
TKT-083,silas.simmons,2026-02-10,High,Account Access,"I need emergency access to the payroll system restored. My account was locked due to incorrect MFA attempts. Payroll processing deadline is in 3 hours."
TKT-084,ruby.foster,2026-02-11,Low,Software,"The screen saver and lock screen settings keep reverting to defaults after every reboot. I think a Group Policy is overriding my preferences. Can this be adjusted?"
TKT-085,theo.gonzalez,2026-02-11,Medium,Network,"Wireless connectivity in the canteen area is very poor. Signal drops out every few minutes. This has been getting progressively worse over the past two weeks."
TKT-086,luna.bryant,2026-02-11,High,Security,"I received an alert from our SIEM tool about unusual login activity on account p.morrison — multiple failed logins from an IP in Eastern Europe, then a successful login. Please investigate."
TKT-087,cash.alexander,2026-02-12,Low,Hardware,"The CD/DVD drive on my desktop is not reading discs. The tray opens and closes fine but no disc is ever detected by the operating system."
TKT-088,piper.russell,2026-02-12,Medium,Software,"Our video conferencing room system (Cisco Webex Board in meeting room 3A) cannot connect to scheduled meetings. The display shows 'Connecting...' indefinitely."
TKT-089,emmet.griffin,2026-02-12,High,Network,"The DHCP server appears to have stopped assigning IP addresses. New devices and rebooted machines are getting 169.254.x.x APIPA addresses and cannot reach the network."
TKT-090,lyric.diaz,2026-02-13,Low,Access Request,"Please revoke all system access for employee T. Nguyen (username: t.nguyen) who left the company yesterday. HR has confirmed the termination."
TKT-091,brixton.hayes,2026-02-13,Medium,Email,"Our email domain appears to have been added to a spam blacklist (Spamhaus). Several clients have reported that our emails are going to their junk folders."
TKT-092,journey.myers,2026-02-13,High,Server,"The Active Directory domain controller (DC-01) is showing high CPU usage (99%) and response times for logins across the business are very slow."
TKT-093,sloane.ford,2026-02-16,Low,Software,"I cannot find the option to record meetings in Microsoft Teams. Other team members can see the Record button but mine is missing. Possibly a licence or policy issue."
TKT-094,dashiell.hamilton,2026-02-16,Medium,Hardware,"The label printer at reception (Dymo LabelWriter 550) is printing faded labels. New labels have been loaded. The print head may need cleaning or replacing."
TKT-095,waverly.graham,2026-02-16,High,Account Access,"Three user accounts appear to have been created overnight without authorisation: x.admin1, x.admin2, x.admin3. These have local admin rights. Please disable and investigate."
TKT-096,rhodes.sullivan,2026-02-17,Low,Email,"I need help exporting my Outlook emails to a PST file before my laptop is replaced next week. I have about 15GB of emails I want to keep."
TKT-097,harlow.west,2026-02-17,Medium,Software,"The Windows Subsystem for Linux (WSL2) is not starting after the latest Windows update. Running 'wsl' in terminal returns an error: 0x80370102."
TKT-098,crew.jordan,2026-02-17,High,Network,"The firewall is blocking outbound traffic on port 443 for a new SaaS application we have licensed. Can you add a rule to permit traffic to the vendor's IP range?"
TKT-099,ottilie.shaw,2026-02-18,Medium,Hardware,"My ergonomic keyboard (Microsoft Sculpt) has started doubling keystrokes — typing one key outputs two characters. This makes it unusable for work."
TKT-100,zephyr.hunt,2026-02-18,High,Security,"Vulnerability scan results from last night show CVE-2025-1234 (CVSS 9.1) affecting 14 servers in the production environment. Patches need to be assessed and applied urgently."
